title,Affected country,type,link,description
Kyrgyzstan: Measles and Rubella Outbreak - Aug 2023,Kyrgyzstan,Epidemic,https://reliefweb.int/disaster/ep-2023-000162-kgz,"According to the Republican Center for Immunoprophylaxis of the Ministry of Health of the Kyrgyz Republic, since the beginning of 2023, the epidemiological situation in the country for measles and rubella has deteriorated. The first cases were reported in the first epidemiological week in Bishkek city and Chui regions, and, starting from the eighth epidemiological week, it has spread to Osh city and Osh region. Then it has spread to an additional 34 districts in 5 regions. The government of the Kyrgyz Republic has not officially declared an outbreak. For reference, as per the WHO, the definition of a suspected measles outbreak is five or more measles cases (with dates of rash onset occurring 7–21 days apart) that are epidemiologically linked, and the definition of a laboratory-confirmed measles outbreak is two or more laboratory-confirmed measles cases that are temporally related (with dates of rash onset occurring 7–21
days apart) and epidemiologically or virologically linked, or both). As of 21 August 2023, 2,743 suspected cases of measles and/or rubella were reported, from which 1,774 were classified as measles (945 laboratory confirmed cases, 323 clinically confirmed cases, and 506 are epidemiologically linked). Measles incidence per 1 million population for the period of May 2022 to April 2023 is 49.47 cases, which is the second highest in the WHO Europe region. The country reported 11 cases of rubella in the period between May 2022 and April 2023, the fourth highest in the WHO Europe region during this period. On 14 August, the Ministry of Health of the Kyrgyz Republic announced two confirmed deaths due to complications of measles (https://med.kg/pressCenter/news/61e9431c-4e8a-422c-b550-6a3429742350). One (1) case was reported in Bishkek (a three-year old child) and one (1) case in Chui region (a one-year old child). In both cases, the children were not vaccinated according to the National vaccination calendar, as parents decided against immunization due to religious reasons. (IFRC, 1 Sep 2023)"
Kyrgyzstan: Floods and Mudslides - Aug 2023,Kyrgyzstan,Flood,https://reliefweb.int/disaster/fl-2023-000155-kgz,"On 7 August 2023, around 17:00 hours local time, mudflows occurred in the villages of Ken-Suu, Bayzak, Taldy-Suu, Korumdu, and Koochu in the Tup district of the Issyk-Kul region due to short-term rains. The Ministry of Emergency Situations (MoES) and local authorities formed a joint commission to have a thorough and transparent assessment of damages. According to the MoES and local authorities, 200 households were directly impacted by the disaster, however, preliminarily, 60% of the total population (13,000 people) of the five affected villages are in need of assistance of various degrees. (IFRC, 28 Aug 2023)"
Bangladesh: Floods and Landslides - Aug 2023,Bangladesh,Flash Flood,https://reliefweb.int/disaster/fl-2023-000157-bgd,"On 7 August, heavy rain triggered flash floods in South-eastern Bangladesh as major rivers flowed far above their danger levels, leaving many areas submerged in Chattogram, Cox’s Bazar, Bandarban and Feni. Landslides left four people dead and six injured, and damaged 718 houses. More than 190 temporary shelters have been opened and 43 medical teams mobilised. The government has allocated 20 tons of rice and cash support and BDRCS is intervening via early warning and emergency distributions. In Cox’s Bazar refugees’ camps, 9,237 individuals have been impacted (10 people injured, 2 casualties, 1,192 displaced). More than 1,430 shelters have been damaged and facilities affected. Relocation and emergency response is ongoing. (ECHO, 8 Aug 2023)"
Guinea: Floods - Aug 2023,Guinea,Flood,https://reliefweb.int/disaster/fl-2023-000158-gin,"Guinea has been experiencing persistent torrential rains since the beginning of August 2023. The highest recorded incidents were on Sunday 6 August 2022 in Coyah, and on Friday 11 August 2023 in Conakry and Siguiri, with rains causing associated impacts, including flooding in low-lying areas as well as the overflow of rivers. Major roads in Conakry and Siguiri were rendered impassable due to the flood waters, heavily constraining vehicles, and pedestrians having to find alternative routes. Different prefectures across the country continue to experience more heavy rains which may cause flooding in additional communities and increase the number of affected people. Furthermore, the areas affected by the floods have already been experiencing acute humanitarian needs due to economic hardship and financial instability. The current disaster has augmented the severity of the situation for these vulnerable communities.
(IFRC, 31 Aug 2023)"
Lao PDR: Floods and Landslides - Aug 2023,Lao PDR,Flood,https://reliefweb.int/disaster/fl-2023-000139-lao,"Steady rains since 31 July have affected thousands of families and inundated hundreds of hectares of farmland in the central Lao province of Savannnakhet. About 5,200 families across 28 villages and 200 hectares of farmland Savannnakhet’s Atsaphon district have been affected. The Lao Meteorology and Hydrology Department forecasts continuation of rains in the central and southern provinces and warned the people along Xechamphone River in Savannakhet and across valleys in Khammuan province for further flooding and landslides over the next 2 days. Provincial authorities are mobilising resources and preparing to assist the affected population. (ECHO, 4 Aug 2023)"
Slovenia: Floods - Aug 2023,Slovenia,Flash Flood,https://reliefweb.int/disaster/fl-2023-000144-svn,"On 3-4 August, severe weather with heavy rain affected western, northern, eastern and central parts of the country, causing severe flooding and landslides. Some areas were inaccessible and necessary evacuations of residents took place. Slovenian Environment Agency (ARSO) has issued a red weather alert and the national emergency response plan for floods has been activated. The national authorities confirmed one person died. On 5 August, severe weather conditions continued to affect the country. Heaviest precipitation was reported mainly in the foothills of the Julian Alps and along the line of the Zidanško–Idrija region, through Gorenjska towards Koroška and the Upper Savinjska region. The Savinja Valley, Gorenjska and Koroška regions were severely affected, as a bridge on the main transport road was swept away and many state roads remain closed due to the flooding. During the day and overnight the precipitation moved to the south-east of Slovenia towards Kočevje, Kolpa and Bela Krajina region, where highest risk levels were declared. On 6 August severe weather conditions persisted in Slovenia with rivers still overflowing across the country. The Sava River flooded heavily. Drava River was stabilised in the upper reaches and was moderated in the lower reaches. Mura river in Gornja Radgona was stabilised. It was reported that embankment on Mura river near settlement Krapje Verzej was breached. The Krka river overflowed in some areas. Problematic areas concerned the Sava and Krka rivers confluence around Krška Vas. The water level of Drava river slowly receded. Its flow, including from the Austrian side, was under control. A similar pattern was also observed for Mura river. On 7 August, the situation in Slovenia has slightly improved, however the situation remained critical since some rivers were still overflowing across the country. The heavy rainfall caused widespread damage leading to the collapse of at least seven main and regional bridges and mainly impacted roads and the energy infrastructure. Many more local bridges were damaged. On 8 August access to remote areas and areas affected by landslides still remained difficult. Approximately two-thirds of Slovenia's territory is currently grappling with the aftermath of flash floods, torrential rain, and hailstorm, with 181 municipalities affected out of the total of 212. In total, 8,000 people have been evacuated to their relatives or other accommodation facilities, and six people have lost their lives as a consequence of the disaster. Heavily affected regions include Upper Carniola, Central Slovenia, Koroška region, as well as Savinjska region. [...] In the most affected areas, communication is disrupted and there is severe damage to infrastructure. Over 170 landslides are active, posing a continued threat to homes, infrastructure, and electricity. [...] On 11 August, the Ministry of Defense reported that by their first estimates more than 400 buildings (some including multiple housing units) were completely destroyed or declared uninhabitable. The loss of assets, homes and businesses, livestock, crops and infrastructure will affect job security and livelihoods in the mid-to long term. Because of the continuous threat of landslides, it is expected that more households will become in need of long-term shelter and basic needs support during the upcoming months. (IFRC, 17 Aug 2023)"
Sri Lanka: Drought - Aug 2023,Sri Lanka,Drought,https://reliefweb.int/disaster/dr-2023-000151-lka,"Drought-like conditions are affecting various locations in Sri Lanka as a result of below-average rainfall in the first half of 2023 and water shortages in reservoirs. According to the latest update from the National Disaster Relief Service Centre (NDRSC), nearly 150,000 people across 10 districts lack safe drinking water. Jaffna, Ampara, and Batticaloa are the hardest hit, accounting for 85% of the affected population. The cultivation of around 50,000 farmers was also affected due to a lack of irrigation water in reservoirs. Farmers in the southwest have been protesting for weeks, demanding water for crops. The local authorities are distributing drinking water to 128,431 people in the affected districts. (ECHO, 9 Aug 2023)"
Viet Nam: Floods and Landslides - Aug 2023,Viet Nam,Flash Flood,https://reliefweb.int/disaster/ff-2023-000136-vnm,"Floods and landslides triggered by heavy rains on 30-31 July in Lam Dong, Binh Thuan, and Bac Lieu Provinces in central and southern Vietnam resulted in casualties and damage. Media reports six people killed (4 in Lam Dong and 2 in Binh Thuan) and one missing due to landslides and drowning. 89 houses have been fully damaged and 346 are partially damaged. Nearly 2,900 hectares of rice have been submerged, and 184.8 hectares of other crops have also been reported damaged. Torrential rains have also eroded and damaged many National Highway sections and rural roads, including a National Highway 20 section passing through Bao Loc Pass, resulting in traffic disruption. The National Committee for Disaster Response, Search, and Rescue, the Ministry of National Defense, and the Ministry of Public Security are responding to the crisis in coordination with other line ministries and local people. (ECHO, 2 Aug 2023)"
Chad: Floods - Aug 2023,Chad,Flood,https://reliefweb.int/disaster/fl-2023-000198-tcd,"On August 11, 2023, following heavy torrential rains, the protective dike along Logone River broke on the Chad side, causing heavy flooding in this area bordering Cameroon. Villages along the dike were completely flooded making the area uninhabitable for people. Fields, dwelling houses, livestock were destroyed. The most affected villages are Makaroua, Mirbidim, Mala and Pit-Arrey. Since August 12, these Chadian populations have gradually moved to Cameroon, which is more easily accessible, particularly in village of Moula, Maga district, Mayo Danay Department. Figures of the identification carried out by the administrative authorities show 346 households or 2,401 people affected.  (IFRC, 12 Sep 2023)"
Indonesia: Floods and Landslides - Aug 2023,Indonesia,Flood,https://reliefweb.int/disaster/fl-2023-000176-idn,"Heavy rainfall has been affecting northern Indonesia (in particular Sumatra Island) since 13 August, causing floods and landslides that have resulted in damage. (ECHO, 14 Aug 2023) According to the National Disaster Mitigation Agency (BNPB), the floods have affected 2,852 people (713 families) across 10 villages in Pesisir Selatan District, West Sumatra. On 16 August, 100 families reported being displaced by floodwaters. (ECHO, 18 Aug 2023)"
Mauritania: Floods - Jul 2023,Mauritania,Flash Flood,https://reliefweb.int/disaster/fl-2023-000146-mrt,"During the evening of Sunday 30 July 2023 to Monday 31 July 2023, the department of Boghé experienced heavy rainfalls for several hours affecting 26 towns and amounting to 2708mm of water, with some areas experiencing more than 150mm. So far, one death has been registered in the village of Hamdallah. Several items and infrastructures have been damaged in affected areas, including food stocks, roads, seawalls, latrines and electricity infrastructures and services. The collapse of several houses has caused the displacement of several families.
Families that have lost their houses have taken shelter in schools or in relatives or neighbors houses that were not
affected by the heavy rain falls. The flood has been caused by the outpouring rain that came from village of Aari Hara situated in the mountains next to the department of Boghé. Boghé was mostly affected, with more than 8,000 affected people out of 42',546, mostly around the water banks of the Senegal river. Other communes like Ould Birom and Dar El Avia have experienced a lower amount of affected people. (IFRC, 30 Aug 2023)"
Guatemala: Floods - Jul 2023,Guatemala,Flood,https://reliefweb.int/disaster/fl-2023-000131-gtm,"Heavy rainfall and strong winds have been affecting most of Guatemala since the beginning of the rainy season in May 2023. The severe weather has resulted in flooding, landslides and significant damage. According to the National Coordination for Disaster Reduction (CONRED), as of 27 July, weather-related incidents have affected more than 916,000 people, leaving at least 16 people dead, 4 injured and forcing the evacuation of some 3,084. (OCHA, 31 July 2023)"
Syria: Wild Fires - Jul 2023,Syria,Wild Fire,https://reliefweb.int/disaster/wf-2023-000129-syr,"Fires started since end of June in Homs, and the intensity of the fires increased from 15 July 2023 with the peak intensity on 25 July and lasted for few days, including Homs, Hama, and Latakia governorates. Most of the fires were in rugged mountainous remote areas. The intensity and size of bushfires in some areas have led to the creation of their own weather systems, generating pyro cumulonimbus clouds, trapping heat, and generating strong wind, in turn sparking further fires. High winds have also helped the bushfires to spread, with some fires jumping over highways and roads. These fires led to material and environmental damage, as a few homes of a number of residents were torched, in addition to burning agricultural crops on which they depend as a main source of livelihood, in addition to burning a large part of the vegetation, forests, and natural reserves. [...] The communities affected by the recent fires, are already exhausted due to complicated reasons including the effects of the continuous Syrian crises, climate change, and the last earthquake. Families were suffering to hold their resilience and protect their livelihoods, among huge lack of resources, funding, aid, water, electricity, proper infrastructure, etc. (IFRC, 11 Aug 2023)"
Algeria: Wild Fires - Jul 2023,Algeria,Wild Fire,https://reliefweb.int/disaster/wf-2023-000124-dza,"Around 35 wildfires have been rapidly spreading across the northeastern region of Algeria in more than 11 regions since July 24th, causing extensive devastation. The disaster has had a profound impact on 6,000 families, with the Algerian Government reporting 34 confirmed deaths. The affected population heavily relies on crops and livestock, both of which have been severely impacted by the wildfires, resulting in further hardships for the communities. Many homes have been reduced to ashes, leaving families displaced and vulnerable. The dire situation has also affected the health of the population, as the flames and smoke have led to thousands of injuries. The magnitude of the disaster requires urgent attention and support to address the immediate needs of those affected. However, the prevailing weather conditions remain a cause for concern. With temperatures exceeding 45°C and wind speeds exceeding 50 km/h on the Tunisian borders, coupled with low humidity, the conditions continue to favor the expansion and intensification of the wildfires. (IFRC, 07 Aug 2023)"
Afghanistan: Floods - Jul 2023,Afghanistan,Flash Flood,https://reliefweb.int/disaster/ff-2023-000133-afg,"Heavy rainfall has been affecting central and eastern Afghanistan, in particular the Maidan Wardak Province, the Khost Province and the Kabul area, since 22 July, causing flash floods that have resulted in casualties and damage. As of 24 July, 31 fatalities, 41 persons still missing and 74 injured people are reported across Jalrez, Saydabad, Chaki Wardak and Maidan Shahr Districts, Maidan Wardak Province. Around 600 houses were reported damaged or destroyed across the same Province. In addition, media also reports four fatalities in the Kabul Capital City area and one more in the Khost Province, also in these cases due to flash floods. (ECHO, 24 Jul 2023)"
Typhoon Doksuri - Jul 2023,Philippines,Tropical Cyclone,https://reliefweb.int/disaster/tc-2023-000121-chn,"Heavy rains and strong winds – 140 km/h near the center and gusts up to 170 km/h – due to Typhoon DOKSURI, locally known as Typhoon “Egay,” affected over 11,100 people (3,000 families) in Regions 6 and 10 in the Philippines.  The typhoon triggered floods in parts of Central Luzon and prompted the suspension of land and sea travel in some parts of Region 5.  (OCHA, 25 Jul 2023)"
Cameroon: Floods - Jul 2023,Cameroon,Flood,https://reliefweb.int/disaster/fl-2023-000135-cmr,"Located in the South-West Region of Cameroon, the city of Limbe was drenched by continuous heavy rains from 18 to 19 July 2023 that resulted in flooding (in the DOWN BEACH and CHURCH STREET neighborhoods) and landslides (MAWOH neighborhood). The flooding was largely due to run-off water and unplanned construction, which prevent water from circulating normally. The neighborhoods worst affected are CHURCH STREET (700 people), MAWOH (400 people) and DOWN BEACH (500 people), making a total of about 1,600 people directly affected by the flooding ... Other damage included the destruction of goods in shops, and more seriously, the suspected disappearance of an adult, 05 people injured and 02 dead. (IFRC, 8 Aug 2023)"
Bangladesh: Dengue Outbreak - Jul 2023,Bangladesh,Epidemic,https://reliefweb.int/disaster/ep-2023-000117-bgd,"Bangladesh is experiencing the worst nationwide outbreak of dengue in its history, with a significant impact on the public health system in the country. Sporadic outbreaks have been occurring in Bangladesh since 1964. There was a major epidemic dengue outbreak in 2000 and since then, there have been varying intensities of dengue every year in Bangladesh. In 2019, Bangladesh experienced a major dengue epidemic, with 101,354 dengue cases recorded
and 164 dengue-related deaths. However, since the beginning of this year, the number of cases has increased significantly, exceeding cases over the same period of time in the previous years and the number of deaths is the highest ever recorded. (UNICEF, 5 Sep 2023)"
Honduras: Dengue Outbreak - Jul 2023,Honduras,Epidemic,https://reliefweb.int/disaster/ep-2023-000165-hnd,"Honduras is currently facing an outbreak that according to the Epidemiological bulletin on the situation of Arbovirosis from the Health secretariat (SESAL) indicates that the country is in an epidemic zone in 7 departments and the most affected regions by Epidemiological Week 29 are: Comayagua, La Paz, Yoro, Atlantida, Olancho, Copan and Ocotepeque and other 8 departments are in an alert stage. Up to epidemiological week 29 (16 - 22 July), SESAL has reported at least 9,278 cases of dengue of which 63 are cases of severe dengue. The cases have increased since week 16 and the epidemic is expected to intensify over the next few weeks unless emergency actions are taken, mainly in urban areas with environmental and demographic conditions conducive to the proliferation of the vector due to seasonal rains and the lack of proper water storage for domestic consumption. The highest accumulated cases by Epidemiological week 29 are Central District (Francisco Morazan) with 3,522 cases (13 severe) and Comayagua with 922 cases (5 severe). The epidemic situation is exacerbated due to limited capacities to respond in regions such as Comayagua where health authorities have requested support from the National Society; in other regions such as Cortes and Francisco Morazan there is an underreporting of cases due to political strife at health units (take over of facilities by unions) since several months ago which have halted the register of cases and community actions. (IFRC, 7 Aug 2023)"
Republic of Congo: Cholera Outbreak - Jul 2023,Congo,Epidemic,https://reliefweb.int/disaster/ep-2023-000127-cog,"On July 17, 2023, the Republic of Congo declared an epidemic of cholera, shigellosis and salmonellosis in the city of Dolisie, in the department of Niari. According to local authorities, the first case dates back to June 30 in Dolisie. Since then, similar cases broke out in Dolisie and later in Pointe-Noire, Kouillou and Bouenza. As of 22 July, 30 confirmed cases of cholera and 63 suspected cases were reported, 95% of which were in Dolisie and newly reported cases in Pointe Noire; however, since 1 July, there has been a clear rise in cases spreading to other areas. From the samples analysed, there were also reported cases of shigellosis (14 cases in Dolisie) and salmonellosis. While the case fatality rate is unknown for all ongoing outbreaks, 34 deaths were reported from a total of 122 confirmed cases. (IFRC, 1 Aug 2023)"
Niger: Floods - Jul 2023,Niger,Flood,https://reliefweb.int/disaster/fl-2023-000160-ner,"As recorded on 10 July, nationwide floods have impacted 5,680 individuals, predominantly in the regions of Maradi, Tahoua, and Tillabéri. The severe weather has resulted in seven fatalities, the collapse of 664 houses, and the loss of 590 livestock. The Hydrology Department forecasts more heavy rainfall and potential river overflows, noting that the Niger River's level is significantly higher than in previous years. In response, the government has mobilized 4,240 tons of cereals and is currently executing a three-year National Flood Contingency Plan (2023-2025), activating national and regional committees to manage this crisis. Additional partner capacities will be communicated soon. (OCHA, 19 Jul 2023"
Indonesia: Drought - 2023-2024,Indonesia,Drought,https://reliefweb.int/disaster/dr-2023-000154-idn,"The El Niño phenomenon has contributed to a prolonged dry season, resulting in crop failure and drought in the Agandugume and Lambewi sub-districts in Puncak District, Central Papua Province. An Emergency Response Status for drought events in the affected sub-districts was declared by the Regent of Puncak District, effective from 7 June to 7 August 2023. According to Regional Disaster Management Agency (BPBD District Puncak – Central Papua), some 7,500 people (1,800 families) are reportedly experiencing hunger as of 29 July. Essential aid, including food items, non-food items and emergency shelter kits have been distributed by the BPBD Puncak district authorities with support from the Indonesian National Army (TNI) and the Ministry of Social Affairs. The Meteorology, Climatology, and Geophysical Agency (BMKG) estimates that this dry season will persist until September 2023. (OCHA, 2 Aug 2023)"
Mongolia: Floods - Jul 2023,Mongolia,Flash Flood,https://reliefweb.int/disaster/fl-2023-000111-mng,"Flooding triggered by heavy rains since the beginning of the week and damage to a dam at the Selbe River have resulted in hundreds of people being displaced and damage to infrastructure in Mongolia's capital, Ulaanbaatar. According to media reports, over 100 residential buildings and hundreds of traditional yurts and vehicles have been flooded in the city. Additionally, 702 infrastructure facilities, such as roads, bridges, dams, and power transmission lines, have been damaged. The water levels of major rivers in and around the city have been flowing above the warning levels. The government declared a ""high alert"" in Ulaanbaatar on Wednesday 5 July, as more rain is forecast until the end of the week. (ECHO, 7 Jul 2023)"
Tanzania: Cholera Outbreak - Jul 2023,Tanzania,Epidemic,https://reliefweb.int/disaster/ep-2023-000224-tza,"The Ministry of Health in the United Republic of Tanzania notified the World Health Organization about a cholera outbreak in three regions, namely Arusha, Kigoma, and Mara, in July 2023. On 11 September 2023, Mara region recorded 13 suspected cases, which were subsequently laboratory-confirmed at the Tanzania National Public Health Laboratory (NPHL), followed by five confirmed cholera cases which were reported in Kigoma region on 13 September 2023. During epidemiological week 40 (ending 8 October 2023), 16 new cases were reported, including 14 in Arusha, and two in Mara region with no reported deaths. As of 8 October 2023, a total of 268 cholera cases with nine deaths (CFR= 3.3%) have been reported and Most of the cases (61.0%, n=164) were recorded in the Mara region, followed by Arusha (24.0%, n=66) and Kigoma (14.0%, n=38). (WHO, 20 Oct 2023)"
Chile: Floods - Jun 2023,Chile,Flood,https://reliefweb.int/disaster/fl-2023-000110-chl,"Since 21 June, central and southern Chile have experienced the heaviest rainfall recorded in the last 30 years. On 23 June, the impact intensified as communities faced flooding caused by swollen rivers, resulting in more than 21,673 people affected, 6,575 people isolated and 1,651 people sheltered, primarily in rural areas. On 24 June, the government declared a state of catastrophe spanning from the Valparaíso Region to the Biobío Region, approximately 450 kilometers south of Santiago. In terms of infrastructure, SENAPRED reported 1,623 houses destroyed, 3,059 with significant damage, 4,069 with minor damage, and 6,424 houses currently under damage assessment. Additionally, 79 temporary shelters are currently active with 1,651 people sheltered. (IFRC, 6 Jul 2023)"
India: Floods and Landslides - Jun 2023,India,Flash Flood,https://reliefweb.int/disaster/fl-2023-000104-ind,"In Assam, 34,189 persons in 11 districts were adversely affected by the first wave of flash floods. The Lakhimpur district is the worst impacted. As of 16 June, 11 relief camps opened in three affected districts. Landslides triggered by the torrential rains have further worsened the situation, causing certain regions such as Lachung and Lachen to become completely cut off from the rest of the state. (ECHO, 17 Jun 2023)"
Serbia: Floods - Jun 2023,Serbia,Flash Flood,https://reliefweb.int/disaster/fl-2023-000108-srb,"Heavy rainfalls and floods affected more than 56 municipalities and cities, causing landslides in some municipalities, while severely damaging essential infrastructure, such as roads and bridges, agricultural land, as well as people's homes. According to the assessment of the Red Cross branches, more than 15,432 people are affected (5,144 households). The assessment confirmed that the floods and landslides caused destruction in more than 1,700 households, damaging living spaces, essential items, food supplies, equipment, furniture, and other personal belongings. (IFRC, 3 Jul 2023)"
Armenia: Hailstorms - Jun 2023,Armenia,Flood,https://reliefweb.int/disaster/st-2023-000106-arm,"Severe hailstorms struck various regions of Armenia, causing extensive damage and disruption. On 15 June 2023, the South region, particularly rural communities near the border, experienced heavy precipitation that overwhelmed sewage systems, flooded streets and houses, and rendered roads and bridges impassable. The hail and subsequent flooding resulted in significant damage to houses, livestock, gardens, and food stocks. The impact of the storms extended to other regions as well. On 18 June, Gyumri and neighbouring villages in the Shirak region were hit by a hailstorm, followed by heavy rainfall in Ijevan and neighboring villages in the Tavush region on 19 June. Furthermore, the Lori region experienced heavy rain on 19 and 20 June, affecting rural areas near Stepanavan. These events led to road destruction, disruptions in energy and water supply, and other infrastructure damages. The Tavush Regional Rescue Department Crisis Management Center received numerous alerts on 19 June, reporting significant damage caused by heavy rain, hail, and wind in Ijevan, Tavush. Uprooted trees, flooded roads and buildings, damaged roofs, and disruptions in power and gas supply networks were observed. Crop gardens and fields were also affected, leading to accidents in utility and energy systems. Committees were formed in Tavush Marz and Ijevan municipalities to assess the extent of the damage [...] The damage of the disaster within the two regions is the following: A total of 1,224 people were affected in Tavush, located in the northeast of Armenia, sharing borders with Georgia and Azerbaijan, and Gegharkunik, Kotayk, and Lori provinces internally. The town of Ijevan, the capital of Tavush, mainly suffered the consequences of the hailstorm. A total of 1,720 people were affected in Lori, which is situated in the northern part of Armenia, sharing a border with Georgia. A total of 12,500 people were affected by the hailstorm in Syunik and Shirak areas. (IFRC, 30 Jun 2023)"
Georgia: Flash Floods - Jun 2023,Georgia,Flash Flood,https://reliefweb.int/disaster/ff-2023-000107-geo,"On 15 and 16 June, a significant disaster struck Gurjaani and Lentekhi municipalities in Georgia, as heavy rainfall, flooding, and hailstorms occurred. This calamity had widespread effects, impacting both urban and rural areas in Gurjaani and Lentekhi Municiplaities – Kakheti and Samegrelo-Zemo Svaneti regions, respectively. The heavy rainfall led to the flooding of the central streets in Gurjaani municipality, including the surrounding areas of the central agricultural market, resulting in severe difficulties in transportation and mobility. Additionally, sudden mudflows and landslides caused the destruction of roads, blockages from fallen trees, and damage to vital infrastructure like bridges and power transmission towers. Specifically, the flooding affected several areas in Gurjaani municipality, including Gurjaani, Chumlaki, Tchandari, Vejini, Dzirkoki, Kolagi, Bakurtsikhe, and Kodalo. In Lentekhi, which is one of the highest mountainous populated areas in Georgia, the storms affected Chikhareshi, Jakhunderi, Nakisheri, Skhedi, Upper Shkedi, Akhalsheni, Panaga, and Lekosadeni villages. State infrastructure such as bridges, in-land roads, and power transmission towers were also damaged. [...] Although Georgia is prone to flooding and hailstorms, it is worth noting that these kinds of floods are not common in either of these municipalities, as none of them are located in high-risk flash flood zones. It is the first time in recent decades that Gurjaani municipality faced such a disaster. Consequently, the population was not prepared for potential effects of this sudden disaster in the region. The disaster is found to have impacted a total of 58,723 people, of whom 5,775 people are in vulnerable situations and in need of humanitarian assistance. (IFRC, 30 Jun 2023)"
Philippines: Mayon Volcano - Jun 2023,Philippines,Volcano,https://reliefweb.int/disaster/vo-2023-000099-phl,"Issued on 08 June 2023, the alert level for Mayon Volcano was raised from Alert Level 2 to Alert Level 3, which indicates that there is an increased tendency towards a hazardous eruption. (Govt. of the Philippines, 8 Jun 2023). As of 10 June, a total of 8,294 families or 33,691 persons are affected in 27 barangays in Albay. Alert Level 3 prevails over Mayon Volcano, which means that it is currently in a relatively high level of unrest as magma is at the crater and hazardous eruption is possible within weeks or even days. (Govt. of the Philippines, 10 Jun 2023)"
Nepal: Dengue Outbreak - Jun 2023,Nepal,Epidemic,https://reliefweb.int/disaster/ep-2023-000092-npl,"In Nepal, dengue cases usually increase in July, coinciding with monsoon season, falling between June and September, with most cases reported in September. Hence, the approximate impact will be from July to September 2023, with 3,500 to 4,000 cases reported, as projected by the Ministry of Health and Population (MoHP). This year, as per epidemiological data collected up to April 2023, 600 cases have already been diagnosed which is highly alarming considering the usual incidence pattern in Nepal. (IFRC, 14 June 2023)"
Ecuador: Floods - Jun 2023,Ecuador,Flash Flood,https://reliefweb.int/disaster/fl-2023-000094-ecu,"On June 3, heavy rains were recorded in the provinces of Esmeraldas, resulting in the overflow of seven rivers in five local districts. The most affected areas include the districts of Atacames, Esmeraldas, Musine, Quinindé, and Rioverde. (WFP, 9 June 2023)"
Haiti: Floods and Landslides - Jun 2023,Haiti,Flood,https://reliefweb.int/disaster/fl-2023-000085-hti,"On 3 June, heavy rainfall hit the departments of Ouest, Nippes, Sud-Est, Nord-Ouest and Centre causing floods, triggering landslides and resulting in casualties and damage. According to the Haitian Civil Protection, 15 people died, eight are missing, almost 13,400 people have been displaced, 7,475 families affected (5,510 in the Ouest Department), and more than 1,200 houses flooded. Emergency response teams have been mobilised to provide support for the affected communities and to assess the damage. For the next 24 hours, light rain is expected across most parts of the country. (ECHO, 5 Jun 2023)"
Dominican Republic: Floods - Jun 2023,Dominican Rep.,Flood,https://reliefweb.int/disaster/fl-2023-000103-dom,"Between 2 and 4 June 2023, the Dominican Republic experienced numerous incidents of urban and rural flooding, river overflowing, and landslides. The affected areas spanned several provinces, including Azua, Barahona, Bahoruco, Dajabón, Elías Piña, Espaillat, Independencia, La Vega, Pedernales, Santiago, and Santiago Rodríguez."
Eswatini: Drought - Jun 2023,Eswatini,Drought,https://reliefweb.int/disaster/dr-2023-000254-swz,"[...] For successive years, Eswatini has been battling with prolonged drought whose effect on agriculture were further escalated by socio-economic cumulative challenges that the country did not overcome. ACAPS classification of the food insecurity in Eswatini on 30th November was high. 25% of the population is concerned by the food insecurity vulnerabilities with challenge accessing food needs and water insecure, with many households still reliant on welfare and social safety nets."
Peru: Dengue Outbreak - Jun 2023,Peru,Epidemic,https://reliefweb.int/disaster/ep-2023-000109,"At least 31 children have died and a further 45,900 children have been infected with the deadly dengue virus, in the worst epidemic of the illness in Peru in over a decade, said Save the Children. The country has seen over 150,294 cases since January 2023, a number substantially higher than the previous peak of 74,000 cases for the entire year in 2017. The death toll from the viral outbreak has risen to 252 nationwide. The country normally averages around 28,000 cases per year, with peaks during El Nino weather events. (Save the Children, 16 Jun 2023)"
Pakistan: Floods - Jun 2023,Pakistan,Flash Flood,https://reliefweb.int/disaster/fl-2023-000119-pak,"On 10 June, heavy rains and rain-related incidents resulted in the loss of at least 33 lives and injuries to around 150 people in Khyber Pakhtunkhwa (KP)  and Punjab provinces. The damages include partial destruction of three schools, complete collapse of two houses, and partial damages to over 160 houses. In Chan village of the Khushab district in Punjab, three girls lost their lives when their house wall collapsed due to the intensity of the rain. Furthermore, 10 people were injured in rain-related incidents in Gujranwala. The torrential downpours and dusty winds resulted in power outages in various areas of both KP and Punjab. (OCHA, 15 Jun 2023)"
Argentina: Floods - Jun 2023,Argentina,Flash Flood,https://reliefweb.int/disaster/fl-2023-000089-arg,"On 29 May, the Undersecretary of Emergencies and Civil Protection of the Municipality of Quilmes formally requested support from the Argentine Red Cross to assist families affected by flash floods in the municipality of Quilmes, province of Buenos Aires, Argentina."
